Name,Pre 2015,In 2023,Category,District,State,Year Start,Year Start Revise,Listener Base,PinCode,Broadcast Frequency,Language,,latitude,longitude,,
SVFM,,,EDU,Chittoor,Andhra Pradesh,2007,,25000,517502,90.4,Telegu,,13.62761,79.38251,,
Radio Vishnu,Yes,,EDU,West Godavari,Andhra Pradesh,2007,,95000,534202,90.4,Telegu,,16.565903,81.534958,,
GMR Radio,Yes,,EDU,Srikakulam,Andhra Pradesh,2012,,18000,532127,90.4,"Telegu, English",,18.475545,83.645483,,
Karshakavani,,,NGO,Chittoor,Andhra Pradesh,2015,,61000,517247,90.4,Telegu,,13.22348,78.59882,,
Radio Ala,Yes,,NGO,Kakinada,Andhra Pradesh,2013,,150000,533004,90.8,"Hindi, English",,16.96795,82.22859,,
Radio Ranjan,,,NGO,Guntur,Andhra Pradesh,2017,,200000,522004,90.4,Telegu,,16.29685,80.42516,,
MITS Radio,,,EDU,Chittoor,Andhra Pradesh,2023,,,517325,90.8,"Telegu, English",,13.54058,78.39498,,
Annamacharya Radio,,,EDU,Kadapa,Andhra Pradesh,2022,,,5161216,89.6,"Telegu, English",,,,,
Radio Sphoorty,,,NGO,Kurnool,Andhra Pradesh,2002,,100000,518002,89.6,Telegu,,15.82445,78.03475,,
Radio City,,,NGO,Papum Pare,Arunachal Pradesh,2018,,15000,791110,90.8,"Hindi, Nyishi, Apatani, Adi, Galo",,27.113431,93.692753,,
Radio Luit,Yes,No,,Kamrum Metropolitan,Assam,2011,,,781014,90.8,"Assamese, Bengali, Hindi, English, Bodo, Nepali",,26.15319,91.644498,,
Radio Gyanmalinee,,,EDU,Dibrugarh,Assam,2019,,20000,786005,90.8,"Hindi, Mising, Sadri
(tea-tribes), Nepali, Bengali, English",,19.86029,75.30324,,
Radio Brahmaputra,,,NGO,Kamrum Metropolitan,Assam,2015,,350000,786002,90.4,"Assamese, Sadri, Hajong, Deori, Mising",,26.15842,91.76097,,
Jnan Taranga,Yes,,EDU,Kamrum Metropolitan,Assam,2010,2009,5000,781022,90,Assamese,,26.11839,91.82116,,
Radio Rimjhim,Yes,,NGO,Gopalganj,Bihar,,2009,300000,841428,90.4,"Bjojpuri, Hindi",,26.513032,84.469766,,
Radio Active,Yes,,NGO,Bhagalpur,Bihar,2012,,260000,812001,90.4,"Angika, Hindi, Urdu, English",,25.24945,86.97489,,
Radio Snehi,Yes,,NGO,Siwan,Bihar,2010,,125000,841226,90.4,Local,,24.10423,82.59703,,
Uttam Radio,Yes,No,,Patna,Bihar,,2004,,800001,90.4,Hindi,,17.67065,83.20946,,
Krishi Vigyan Kendra,,,KVK,Patna,Bihar,2011,,200000,803214,91.2,Hindi,,25.447217,85.735897,,
FM Green,,,KVK,Bhagalpur,Bihar,2019,,200000,813210,90.8,"Hindi, Angika",,25.201078,87.047437,,
Radio Mayur,,,NGO,Saran,Bihar,,,150000,841301,90.8,"Bjojpuri, Hindi",,25.792133,84.721107,,
Radio Varsha,,,NGO,Gopalganj,Bihar,2017,,300000,841428,90.8,"Bjojpuri, Hindi, English",,26.513032,84.469766,,
Radio Risarch,,,NGO,Munger,Bihar,,,400000,811201,90.8,"Hindi, English, Urdu, Angika",,25.0393,88.11951,,
Radio Madhubani,,,NGO,Madhubani,Bihar,2021,,,847409,89.6,"Hindi, Maithili",,26.427961,86.423792,,
Radio Goonj,,,NGO,Vaishali,Bihar,2023,,200000,844503,90,"Hindi, Maithili, Bhojpuri, Angika, Vajjika, English, Local",,25.67275,85.333,,
Radio Vivek,Yes,,EDU,Chandigarh,Chandigarh,2007,,250000,160036,90.4,"Hindi, English, Punjabi",,30.732539,76.739424,,
Jyotirgamaya CRS,Yes,,EDU,Chandigarh,Chandigarh,,2011,200000,160014,91.2,"Hindi, English, Punjabi",,30.777678,76.739424,,
Desh Bhagat Radio,Yes,,NGO,Chandigarh,Chandigarh,2012,,1325000,160009,107.8,"Hindi, English, Punjabi",,30.7407,76.79803,,
Radio Chitkara,Yes,,EDU,Chandigarh,Chandigarh,2012,,100000,140601,107.8,"Hindi, English, Punjabi",,30.381285,76.675922,,
Radio Raman,Yes,,EDU,Bilaspur,Chhattisgarh,2013,2012,32000,495113,90.4,"Hindi, Chhattisgarhi",,22.32977,81.90486,,
Neotech Community Radio,Yes,,EDU,Surguja,Chhattisgarh,2012,,300000,497001,89.4,"Hindi, Chhattisgarhi, English, Surgujiha",,23.31422,83.20097,,
Hamar Radio,,,NGO,Surajpur,Chhattisgarh,2018,,250000,497226,90.4,"Hindi, Chhattisgarhi, Kodakhu, Surgujiha",,23.249029,82.971662,,
Radio Dhoom,,,NGO,Raigarh,Chhattisgarh,2021,,24000,496001,89.6,Chhattisgarhi,,21.82665,83.45389,,
Arpaa Radio,,,NGO,Bilaspur,Chhattisgarh,2021,,55000,495001,90.8,"Hindi, Chhattisgarhi",,22.07339,82.15898,,
Radio Samvad,,,EDU,Raigarh,Chhattisgarh,2018,,25000,492013,90.8,"Hindi, Chhattisgarhi",,21.21284,81.63327,,
Radio Sahyogi,,,,Durg,Chhattisgarh,2019,,,491001,91.2,"Hindi, Chhattisgarhi",,21.12768,81.20808,,
Radio JIMS,Yes,,EDU,South Delhi,Delhi,2005,,7500,110070,90.4,"Hindi, English",,28.53818,77.14444,,
Radio JIMS,Yes,,EDU,North Delhi,Delhi,2005,2006,,110085,96.9,"Hindi, English",,28.70141,77.09772,,
Apna Radio,Yes,,EDU,South Delhi,Delhi,2005,,,110067,96.9,Hindi,,28.540732,77.162896,,
Radio Jamia,Yes,,EDU,South Delhi,Delhi,,2005,,110025,90.4,"Hindi, English, Urdu",,28.5594,77.2945,,
DU CR,Yes,No,,North Delhi,Delhi,,2007,,110007,90.4,"Hindi, English",,28.685897,77.211773,,
Radio Campus,,,EDU,Anand,Gujrat,2004,,,888120,90.4,Local,,22.5513,72.9228,,
Rudi No Radio,Yes,,NGO,Ahmedabad,Gujrat,2009,,100000,382110,90.4,Gujarati,,22.97105,72.24377,,
Lokvani Radio,Yes,,KVK,Junagadh,Gujrat,2013,,32000,362715,90.4,"Gujarati, Hindi",,20.86854,70.70898,,
Radio Nazariya,,,NGO,Ahmedabad,Gujrat,2017,,,380001,107.8,"Gujarati, Hindi, Urdu",,23.01772,72.57817,,
Radio Palanpur,,,NGO,Banaskantha,Gujrat,2019,,170000,385001,90.4,"Gujarati, Hindi",,24.176119,72.449485,,
Radio Sabarmati,,,NGO,Ahmedabad,Gujrat,2022,,,380009,89.6,"Gujarati, Hindi, English",,23.03277,72.56998,,
